11-08-2025 09:19:44 | TRACE | Task: 001_InicializarVariables | Desc: Se inicializan las rutas del robot.
11-08-2025 09:19:44 | TRACE | Task: 001_InicializarVariables | Desc: Se leen los datos parametrizados en el archivo: D:/Laburo/VORTEX/PROYECTOS/POC_GRV/Process/config/Config.xlsx y se inicializan las variables del proceso.
11-08-2025 09:19:44 | INFO | Task: 001_InicializarVariables | Desc: Resolución inicial: (1920, 1080)
11-08-2025 09:19:44 | TRACE | Task: 001_InicializarVariables | Desc: Se deja lista la plantilla del reporte.
11-08-2025 09:19:47 | INFO | Task: 004_CrearInsumoDesdeTemplate | Desc: Comienza la creación de insumo con template.
11-08-2025 09:19:47 | TRACE | Task: 004_CrearInsumoDesdeTemplate | Desc: Ruta de insumo a copiar: D:/Laburo/VORTEX/PROYECTOS/POC_GRV/Input/Insumo_110825091947.xlsx
11-08-2025 09:19:47 | TRACE | Task: 004_CrearInsumoDesdeTemplate | Desc: Se completa la creación del insumo en la ruta: D:/Laburo/VORTEX/PROYECTOS/POC_GRV/Input/Insumo_110825091947.xlsx.
11-08-2025 09:21:34 | INFO | Task: 003_ObtenerInformacionDocumentos | Desc: Comienza la obtención de información de los documentos.
11-08-2025 09:21:34 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de carpetas: ['139', '147']
11-08-2025 09:21:34 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Lista de archivos: ['Doc resp AGUIRRE.pdf', 'Doc resp ARIAS.pdf', 'Doc resp BIANCHI 2.pdf', 'Doc resp BIANCHI.pdf', 'Doc resp CABRAL.pdf', 'Doc resp CASTRO AGUSTINA.pdf', 'Doc resp CASTRO CARLOS 2.pdf', 'Doc resp CASTRO CARLOS.pdf', 'Doc resp CORNEJO.pdf', 'Doc resp DE LA ROSA.pdf', 'Doc resp DI SILVESTRE.pdf', 'Doc resp DIAZ TABORDA.pdf', 'Doc resp FERNANDEZ GALDAME.pdf', 'Doc resp GIURA.pdf', 'Doc resp MANZANELI.pdf', 'Doc Respaldo ARIAS 2.pdf', 'Factura.pdf', 'Nota_Debito.pdf']
11-08-2025 09:21:48 | TRACE | Task: 003_ObtenerInformacionDocumentos | Desc: Se sube archivo: D:/Laburo/VORTEX/PROYECTOS/POC_GRV/Input/139/Doc resp AGUIRRE.pdf
